Technique ID,Technique Name,Tactic,Deception Techniques
T1003,Credential Dumping,Credential Access,"Inject fake credentials into LSASS (honey hashes)., Create Kerberoast Service Account honeytokens., Fake credentials in browser password managers."
T1003.003,OS Credential Dumping: NTDS,credential-access,DecoyUserCredential
T1003.005,OS Credential Dumping: Cached Domain Credentials,credential-access,DecoyUserCredential
T1003.007,OS Credential Dumping: Proc Filesystem,credential-access,DecoyFile
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,credential-access,DecoyFile
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,credential-access,DecoyUserCredential
T1005,Data from Local System,Collection,"Create fake directories and files (i.e. honeyfiles) and monitor access using go-audit, auditd, or FIM tools., Create decoy files or documents (beacons) that phone home when opened., Create files containing deceptive content and breadcrumbs to lure the attacker toward honeypots., Fake configuration, backup, and connection files such as RDP, VPN, and AWS credentials."
T1005,Data from Local System,collection,DecoyFile
T1014,Rootkit,defense-evasion,DecoyFile
T1016,System Network Configuration Discovery,discovery,DecoyFile
T1018,Remote System Discovery,discovery,DecoyFile
T1021,Remote Services,Lateral Movement,"Set up fake network services or protocols such as Telnet, SSH, and VNC., Create breadcrumbs or honeytokens to lure attackers toward fake network services."
T1025,Data from Removable Media,Collection,"Create decoy files or documents (beacons) that phone home when opened., Create emulated or virtual USB devices and monitor access (e.g. using Windows Removable Storage Auditing)., Create files containing deceptive content and breadcrumbs to lure the attacker toward honeypots."
T1027.001,Obfuscated Files or Information: Binary Padding,defense-evasion,DecoyFile
T1027.002,Obfuscated Files or Information: Software Packing,defense-evasion,DecoyFile
T1027.004,Obfuscated Files or Information: Compile After Delivery,defense-evasion,DecoyFile
T1033,System Owner/User Discovery,discovery,DecoyFile
T1036.001,Masquerading: Invalid Code Signature,defense-evasion,DecoyFile
T1036.003,Masquerading: Rename System Utilities,defense-evasion,DecoyFile
T1036.005,Masquerading: Match Legitimate Name or Location,defense-evasion,DecoyFile
T1036.006,Masquerading: Space after Filename,defense-evasion,DecoyFile
T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),persistence,DecoyFile
T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),privilege-escalation,DecoyFile
T1037.002,Boot or Logon Initialization Scripts: Login Hook,persistence,DecoyFile
T1037.002,Boot or Logon Initialization Scripts: Login Hook,privilege-escalation,DecoyFile
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,persistence,DecoyFile
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,persistence,DecoyNetworkResource
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,privilege-escalation,DecoyFile
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,privilege-escalation,DecoyNetworkResource
T1037.004,Boot or Logon Initialization Scripts: RC Scripts,persistence,DecoyFile
T1037.004,Boot or Logon Initialization Scripts: RC Scripts,privilege-escalation,DecoyFile
T1039,Data from Network Shared Drive,Collection,"Create fake network shares, or create fake directories/files (honeyfiles) in real network shares and monitor access., Create decoy files or documents (beacons) that phone home when opened."
T1039,Data from Network Shared Drive,collection,DecoyNetworkResource
T1041,Exfiltration Over C2 Channel,exfiltration,DecoyFile
T1043,Commonly Used Port,Command and Control,"Set up network sinkholes (fake network services or protocols such as HTTP, HTTPS, FTP, SMTP, and DNS)., Redirect all known malicious domains to an internal network sinkhole using internal DNS servers."
T1046,Network Service Scanning,Discovery,"Set up fake network services., Create breadcrumbs or honeytokens to lure attackers toward the fake network services., Fake entries in ARP cache, hosts file, etc."
T1048.002,Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,DecoyFile
T1053.004,Scheduled Task/Job: Launchd,execution,DecoyFile
T1053.004,Scheduled Task/Job: Launchd,persistence,DecoyFile
T1053.004,Scheduled Task/Job: Launchd,privilege-escalation,DecoyFile
T1055.001,Process Injection: Dynamic-link Library Injection,defense-evasion,DecoyFile
T1055.001,Process Injection: Dynamic-link Library Injection,privilege-escalation,DecoyFile
T1055.002,Process Injection: Portable Executable Injection,defense-evasion,DecoyFile
T1055.002,Process Injection: Portable Executable Injection,privilege-escalation,DecoyFile
T1055.003,Process Injection: Thread Execution Hijacking,defense-evasion,DecoyFile
T1055.003,Process Injection: Thread Execution Hijacking,privilege-escalation,DecoyFile
T1055.009,Process Injection: Proc Memory,defense-evasion,DecoyFile
T1055.009,Process Injection: Proc Memory,privilege-escalation,DecoyFile
T1055.014,Process Injection: VDSO Hijacking,defense-evasion,DecoyFile
T1055.014,Process Injection: VDSO Hijacking,privilege-escalation,DecoyFile
T1056,Input Capture,"Collection, Credential Access","Inject fake keystrokes containing honey accounts or any other type of honeytokens, such as URL tokens."
T1059,Command and Scripting Interpreter,execution,DecoyFile
T1068,Exploitation of Vulnerability,"Credential Access, Defense Evasion, Lateral Movement, Privilege Escalation","Set up fake vulnerable resources using honeypots., Deploy emulated or real operating systems, network protocols, or vulnerabilities."
T1070.002,Indicator Removal: Clear Linux or Mac System Logs,defense-evasion,DecoyFile
T1070.004,Indicator Removal: File Deletion,defense-evasion,DecoyFile
T1070.005,Indicator Removal: Network Share Connection Removal,defense-evasion,DecoyNetworkResource
T1071,Application Layer Protocol,command-and-control,DecoyFile
T1071.001,Application Layer Protocol: Web Protocols,command-and-control,DecoyFile
T1072,Software Deployment Tools,execution,DecoyFile
T1072,Software Deployment Tools,lateral-movement,DecoyFile
T1074.001,Data Staged: Local Data Staging,collection,DecoyFile
T1074.002,Data Staged: Remote Data Staging,collection,DecoyNetworkResource
T1075,Pass the Hash,Lateral Movement,Inject fake credentials into LSASS (honey hashes).
T1076,Remote Desktop Protocol,Lateral Movement,"Set up fake RDP services., Create fake RDP connection files., Deploy decoy documents containing deceptive contents and breadcrumbs."
T1080,Taint Shared Content,lateral-movement,DecoyNetworkResource
T1082,System Information Discovery,discovery,DecoyEnvironment
T1082,System Information Discovery,discovery,IntegratedHoneynet
